PrefName,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Ehime,1266952.894,1047837.663,990991.6632,879615.314,923592.0327,840319.0178,819762.2978,752981.1045,714868.46,639548.7579,667798.5906,701483.3766,666149.4669,654961.8004,722417.966,513534.6974,465476.9438,400564.0724,568302.281,582992.2516,401433.4872,531468.3332,408143.3518,358381.7596,312963.0945,304328.1509,270370.9057,241714.761,297519.1645,225820.5439,228459.0988,182753.3805,140945.2645,67724.58927,125537.1306,167618.1952,130199.2587,0,77509.89109,219177.1848,238361.9387,295595.8247,221689.8008,126342.0399,248222.6257,326900.0261,977283.6534
Kochi,1255773.926,1028599.111,963359.2598,843332.1868,900814.6148,805905.3516,781097.7023,702787.4305,668355.681,594515.2637,615512.4267,645805.4789,612200.4022,598914.2346,691876.2407,483169.2348,439259.089,371279.9001,517520.3613,545192.8093,356636.6252,473614.9146,358743.7573,303738.7251,268308.1136,261201.8513,221989.4604,197429.1368,246309.3272,168447.281,225199.7947,216696.1065,127786.9494,135718.5174,202824.8313,110526.5194,98681.78039,77509.89109,0,289031.43,302625.3582,352963.1178,273813.0058,182016.5701,269129.5723,356512.8573,990813.1713
Fukuoka,1417093.835,1215412.058,1172914.29,1074868.391,1098719.291,1033535.962,1018546.035,964171.6236,922993.6963,846914.2014,881089.9403,916953.3965,880625.791,870812.6049,912050.0277,707270.6896,655698.5879,596708.5998,781101.2577,783721.726,611754.3628,748689.3504,621549.496,575131.2417,525048.7108,515665.7627,485479.1682,455573.4739,513447.0885,444509.1303,408887.9655,318154.7096,344848.542,207947.676,116718.4133,386678.2253,344750.2278,219177.1848,289031.43,0,41112.04556,108218.5879,95469.08319,118361.9843,210306.2251,227288.0241,861076.5062
Saga,1454929.587,1251139.23,1206404.671,1105485.322,1133252.834,1064596.307,1048190.586,989363.4325,949496.1206,873636.7177,905135.2095,939609.3766,903954.7963,893169.2752,943741.3058,737665.1734,686703.1064,626211.5591,805352.7556,812512.525,636962.977,769830.25,645321.3094,596680.5873,549306.219,540229.3306,508097.6761,478812.4873,535577.6556,463933.1651,440173.8166,353341.1109,370774.1518,237036.0483,150324.6704,405388.7735,367232.1692,238361.9387,302625.3582,41112.04556,0,68650.73207,65657.79381,122428.1096,182164.7174,188897.4862,820019.7501
Nagasaki,1523500.341,1318932.621,1272838.38,1169722.212,1200388.582,1129223.786,1111618.669,1048574.431,1010069.036,934513.9161,963268.8086,996207.0861,961333.2641,949518.1639,1008938.667,801988.6788,751568.7289,689953.0794,863866.4022,875385.2004,696801.9946,825106.9481,703712.703,652937.2621,608491.5351,599744.4323,565836.9492,537310.2749,592694.5809,518633.6076,505646.5479,421204.1938,432341.7188,301976.1755,218187.5015,459805.5225,425740.534,295595.8247,352963.1178,108218.5879,68650.73207,0,81488.07788,171480.4911,172773.1264,146353.9188,754574.1085
Kumamoto,1470515.194,1259702.125,1208545.354,1100610.954,1138464.921,1060884.355,1041222.696,973236.5295,936109.4622,860986.6728,887105.246,918883.9343,884592.0552,872074.5618,941933.5137,733667.2425,684449.3429,620933.3064,788142.7483,804508.6402,622636.1573,747134.0017,628177.9713,575879.3009,533944.6547,525551.1002,490151.1253,462396.1194,516422.2854,440951.9764,441092.2035,365892.9156,361494.3219,239115.1007,169044.9451,382187.9645,351483.1343,221689.8008,273813.0058,95469.08319,65657.79381,81488.07788,0,95358.24955,116690.9772,137427.7674,787013.607
Oita,1382704.786,1168443.438,1114976.358,1005603.282,1045957.099,966058.6754,946004.0474,878295.7513,840856.0187,765676.3793,792465.3989,824895.6342,790239.8516,778167.4508,847524.335,638975.4472,590178.1629,526124.6919,693310.1283,709259.3023,527377.3998,653643.5247,533247.4481,481669.411,438731.4282,430277.7815,395231.9817,367237.9112,421757.2291,347180.4391,348530.4888,280924.6032,266494.4875,150516.4231,105934.5976,288350.5155,256167.8106,126342.0399,182016.5701,118361.9843,122428.1096,171480.4911,95358.24955,0,148216.484,210846.6264,866482.9737
Miyazaki,1514922.602,1293452.185,1231681.861,1112355.755,1167377.056,1075034.222,1049803.969,965922.2597,934265.177,861474.6656,877309.5891,903613.3671,872332.9734,856715.8043,960648.1588,751673.256,706467.2835,639240.1252,781370.6636,814220.9907,624748.6686,730719.6154,624935.3619,567255.395,536948.642,530121.3722,490104.3211,466468.927,513018.2708,433676.4905,476225.6076,422781.6888,384384.0089,292069.4144,252317.683,378105.2459,363749.2482,248222.6257,269129.5723,210306.2251,182164.7174,172773.1264,116690.9772,148216.484,0,90803.0872,729082.8674
Kagoshima,1592274.617,1374737.293,1316225.608,1199561.211,1250144.037,1161681.789,1137583.83,1055937.041,1023622.925,950428.935,967495.4036,994196.8222,962712.4406,947283.6827,1046064.679,836894.6034,790499.852,724076.0129,871174.0277,901475.0867,713037.5787,821276.6767,714058.0313,656942.5072,624818.6055,617673.1814,578335.2413,553840.057,601870.2605,522789.7688,555012.2316,491763.261,466468.2093,361257.3641,303461.121,466438.8841,448559.1826,326900.0261,356512.8573,227288.0241,188897.4862,146353.9188,137427.7674,210846.6264,90803.0872,0,655710.0636
Okinawa,2243837.572,2019412.02,1950991.942,1821665.698,1891170.401,1787433.84,1756363.822,1652029.514,1629630.081,1561980.968,1562407.491,1578281.154,1553557.31,1533245.726,1678648.62,1471783.503,1429698.372,1361252.251,1474648.758,1526289.169,1334335.352,1411580.57,1328888.934,1267746.201,1250467.069,1245167.85,1202939.075,1183471.515,1221789.34,1143136.527,1205205.935,1147393.471,1112138.441,1016666.044,956052.5655,1093445.075,1088679.246,977283.6534,990813.1713,861076.5062,820019.7501,754574.1085,787013.607,866482.9737,729082.8674,655710.0636,0
